segment_id,booking_id,departure_airport,arrival_airport,departure_date,departure_time,arrival_date,arrival_time,airline,flight_number,aircraft_type,duration_minutes
SEG001,BK001,JFK,LAX,2024-02-15,08:00:00+00:00,2024-02-15,11:30:00+00:00,AA,AA1001,Boeing 737,330
SEG002,BK001,LAX,JFK,2024-02-22,14:15:00+00:00,2024-02-22,22:45:00+00:00,AA,AA1002,Boeing 737,330
SEG003,BK002,ORD,MIA,2024-02-25,10:30:00+00:00,2024-02-25,14:45:00+00:00,UA,UA2001,Airbus A320,255
SEG004,BK003,LHR,CDG,2024-03-10,09:15:00+00:00,2024-03-10,10:45:00+00:00,BA,BA3001,Airbus A319,90
SEG005,BK003,CDG,FCO,2024-03-12,16:30:00+00:00,2024-03-12,18:15:00+00:00,AF,AF4001,Airbus A320,105
SEG006,BK004,JFK,SFO,2024-03-20,07:45:00+00:00,2024-03-20,11:15:00+00:00,UA,UA5001,Boeing 787,330
SEG007,BK004,SFO,NRT,2024-03-22,13:00:00+00:00,2024-03-23,16:45:00+00:00,UA,UA5002,Boeing 787,645
SEG008,BK004,NRT,JFK,2024-03-30,11:30:00+00:00,2024-03-30,10:15:00+00:00,UA,UA5003,Boeing 787,780
SEG009,BK005,LGW,DUB,2024-03-25,12:20:00+00:00,2024-03-25,13:35:00+00:00,EI,EI6001,Airbus A320,75
SEG010,BK006,LAX,SEA,2024-04-05,15:30:00+00:00,2024-04-05,18:00:00+00:00,AS,AS7001,Boeing 737,150
SEG011,BK006,SEA,LAX,2024-04-12,09:45:00+00:00,2024-04-12,12:15:00+00:00,AS,AS7002,Boeing 737,150
SEG012,BK007,CDG,BCN,2024-04-15,11:00:00+00:00,2024-04-15,12:45:00+00:00,VY,VY8001,Airbus A320,105
SEG013,BK009,JFK,LHR,2024-05-01,22:30:00+00:00,2024-05-02,10:15:00+00:00,VS,VS9001,Airbus A350,465
SEG014,BK009,LHR,JFK,2024-05-15,14:20:00+00:00,2024-05-15,17:45:00+00:00,VS,VS9002,Airbus A350,465
SEG015,BK010,CDG,MAD,2024-05-20,08:15:00+00:00,2024-05-20,10:00:00+00:00,IB,IB1001,Airbus A321,105
